#Class	OvrStry	Rarc	Rmin	JAN-LAI	FEB-LAI	MAR-LAI	APR-LAI	MAY-LAI	JUN-LAI	JUL-LAI	AUG-LAI	SEP-LAI	OCT-LAI	NOV-LAI	DEC-LAI	JAN-ALB	FEB_ALB	MAR-ALB	APR-ALB	MAY-ALB	JUN-ALB	JUL-ALB	AUG-ALB	SEP-ALB	OCT-ALB	NOV-ALB	DEC-ALB	JAN-ROU	FEB-ROU	MAR-ROU	APR-ROU	MAY-ROU	JUN-ROU	JUL-ROU	AUG-ROU	SEP-ROU	OCT-ROU	NOV-ROU	DEC-ROU	JAN-DIS	FEB-DIS	MAR-DIS	APR-DIS	MAY-DIS	JUN-DIS	JUL-DIS	AUG-DIS	SEP-DIS	OCT-DIS	NOV-DIS	DEC-DIS	WIND_H	RGL	rad_atten	wind_atten	truck_ratio
13	0	0	150	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.185	0.276	0.245	0.236	0.226	0.111	0.067	0.087	0.156	0.239	0.258	0.218	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	75	0.5	0.5	0.2
14	0	25	80	1.20	2.50	3.20	2.40	0.00	0.37	1.80	2.45	2.90	1.70	0.60	0.00	0.130	0.125	0.120	0.125	0.135	0.135	0.125	0.120	0.120	0.120	0.140	0.135	0.037	0.092	0.135	0.123	0.000	0.022	0.036	0.107	0.172	0.172	0.101	0.000	0.201	0.503	0.737	0.670	0.000	0.120	0.194	0.582	0.938	0.938	0.550	0.000	3.25	100	0.5	0.5	0.2
15	0	25	80	1.20	2.50	3.20	2.40	0.00	0.61	1.50	3.50	3.10	1.40	0.40	0.75	0.125	0.120	0.120	0.125	0.135	0.130	0.105	0.100	0.100	0.110	0.135	0.130	0.062	0.092	0.135	0.123	0.000	0.017	0.027	0.056	0.132	0.135	0.049	0.025	0.335	0.503	0.737	0.670	0.000	0.093	0.147	0.305	0.718	0.737	0.268	0.134	3.1	100	0.5	0.5	0.2
16	0	25	80	1.20	2.50	3.20	2.40	0.00	0.40	1.10	2.50	3.51	2.50	0.40	0.75	0.125	0.120	0.120	0.125	0.135	0.130	0.105	0.100	0.100	0.110	0.135	0.130	0.049	0.092	0.135	0.123	0.000	0.017	0.027	0.056	0.132	0.135	0.054	0.025	0.268	0.503	0.737	0.670	0.000	0.093	0.147	0.305	0.718	0.737	0.293	0.134	3.1	100	0.5	0.5	0.2
17	0	25	80	0.90	2.10	3.50	2.70	0.40	0.40	1.10	2.50	3.51	2.50	0.40	0.00	0.125	0.120	0.120	0.125	0.135	0.130	0.105	0.100	0.100	0.110	0.135	0.130	0.012	0.086	0.135	0.135	0.012	0.012	0.025	0.081	0.135	0.135	0.044	0.000	0.067	0.469	0.737	0.737	0.067	0.067	0.134	0.443	0.737	0.737	0.242	0.000	3.1	100	0.5	0.5	0.2
18	0	25	80	0.00	0.00	0.00	0.00	0.00	0.38	0.60	1.25	2.94	3.02	1.20	0.00	0.145	0.141	0.141	0.145	0.145	0.130	0.110	0.110	0.110	0.120	0.130	0.143	0.000	0.000	0.000	0.000	0.000	0.017	0.027	0.056	0.132	0.135	0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.093	0.147	0.305	0.718	0.737	0.293	0.000	3.1	100	0.5	0.5	0.2
19	0	25	80	0.00	0.00	0.00	0.00	0.00	0.00	0.65	2.45	3.10	1.35	0.60	0.20	0.160	0.160	0.160	0.160	0.160	0.139	0.128	0.125	0.124	0.136	0.148	0.160	0.000	0.000	0.000	0.000	0.000	0.000	0.052	0.194	0.246	0.246	0.048	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.281	1.059	1.340	1.340	0.259	0.086	4	100	0.5	0.5	0.2
20	0	25	80	0.00	0.00	0.00	0.00	0.00	0.33	0.92	2.23	2.08	0.98	0.67	0.00	0.160	0.160	0.160	0.160	0.160	0.139	0.128	0.125	0.124	0.136	0.148	0.160	0.000	0.000	0.000	0.000	0.000	0.049	0.123	0.246	0.234	0.185	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.268	0.670	1.340	1.273	1.005	0.268	0.000	4	100	0.5	0.5	0.2
21	0	25	80	0.00	0.00	0.70	1.20	1.50	0.30	0.70	1.70	2.50	2.75	1.15	0.80	0.150	0.140	0.140	0.144	0.157	0.130	0.125	0.125	0.125	0.125	0.147	0.149	0.000	0.000	0.034	0.059	0.074	0.015	0.034	0.084	0.135	0.135	0.057	0.039	0.000	0.000	0.188	0.322	0.402	0.080	0.188	0.456	0.737	0.737	0.308	0.214	3.1	100	0.5	0.5	0.2
22	0	25	80	0.00	0.00	0.00	0.00	0.00	0.27	0.55	1.10	2.09	2.29	1.15	0.23	0.152	0.148	0.148	0.148	0.148	0.118	0.115	0.115	0.115	0.130	0.139	0.145	0.000	0.000	0.000	0.000	0.000	0.029	0.059	0.118	0.246	0.246	0.049	0.025	0.000	0.000	0.000	0.000	0.000	0.157	0.322	0.644	1.340	1.340	0.268	0.135	4	100	0.5	0.5	0.2
23	0	25	80	0.00	0.00	0.00	0.00	0.00	0.27	0.60	3.01	2.26	1.05	0.86	0.00	0.142	0.141	0.140	0.140	0.140	0.120	0.115	0.115	0.122	0.135	0.135	0.140	0.000	0.000	0.000	0.000	0.000	0.022	0.049	0.246	0.246	0.086	0.070	0.000	0.000	0.000	0.000	0.000	0.000	0.121	0.267	1.340	1.340	0.468	0.382	0.000	4	100	0.5	0.5	0.2
24	1	50	100	5.32	5.09	4.50	4.20	3.50	3.36	3.30	3.50	3.89	4.86	5.67	5.64	0.114	0.115	0.115	0.123	0.125	0.110	0.105	0.105	0.105	0.120	0.120	0.118	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	6.700	6.700	6.700	6.700	6.700	6.700	6.700	6.700	6.700	6.700	6.700	6.700	12	50	0.5	0.5	0.2
25	0	25	80	0.00	0.00	0.00	0.00	0.00	0.30	1.49	1.80	2.30	2.40	1.94	1.10	0.143	0.143	0.145	0.147	0.145	0.130	0.125	0.125	0.125	0.125	0.135	0.143	0.000	0.000	0.000	0.000	0.000	0.017	0.084	0.101	0.130	0.130	0.109	0.062	0.000	0.000	0.000	0.000	0.000	0.092	0.457	0.553	0.706	0.706	0.595	0.338	3.1	100	0.5	0.5	0.2
26	0	25	80	0.00	0.00	0.00	0.00	0.00	0.27	0.60	3.01	2.26	1.05	0.86	0.00	0.142	0.141	0.140	0.140	0.140	0.120	0.115	0.115	0.122	0.135	0.135	0.140	0.000	0.000	0.000	0.000	0.000	0.037	0.062	0.111	0.123	0.049	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.201	0.335	0.603	0.670	0.268	0.134	0.000	3.1	100	0.5	0.5	0.2
