#Class	OvrStry	Rarc	Rmin	JAN-LAI	FEB-LAI	MAR-LAI	APR-LAI	MAY-LAI	JUN-LAI	JUL-LAI	AUG-LAI	SEP-LAI	OCT-LAI	NOV-LAI	DEC-LAI	JAN-ALB	FEB_ALB	MAR-ALB	APR-ALB	MAY-ALB	JUN-ALB	JUL-ALB	AUG-ALB	SEP-ALB	OCT-ALB	NOV-ALB	DEC-ALB	JAN-ROU	FEB-ROU	MAR-ROU	APR-ROU	MAY-ROU	JUN-ROU	JUL-ROU	AUG-ROU	SEP-ROU	OCT-ROU	NOV-ROU	DEC-ROU	JAN-DIS	FEB-DIS	MAR-DIS	APR-DIS	MAY-DIS	JUN-DIS	JUL-DIS	AUG-DIS	SEP-DIS	OCT-DIS	NOV-DIS	DEC-DIS	WIND_H	RGL	rad_atten	wind_atten	truck_ratio
13	0	50	150	0.621	1.078	1.131	0.684	0.443	0.347	0.621	1.078	1.131	0.684	0.443	0.347	0.230	0.230	0.240	0.250	0.250	0.250	0.200	0.200	0.200	0.200	0.220	0.230	0.025	0.043	0.025	0.018	0.012	0.012	0.025	0.043	0.025	0.018	0.012	0.120	0.134	0.235	0.134	0.101	0.067	0.067	0.134	0.235	0.134	0.101	0.067	0.067	2	75	0.5	0.5	0.2
14	0	0	175	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	30	0.5	0.5	0.2
15	0	25	80	0.000	0.000	0.000	0.000	0.000	0.000	0.650	2.450	3.100	1.350	0.600	0.200	0.160	0.160	0.160	0.160	0.160	0.139	0.128	0.125	0.124	0.136	0.148	0.160	0.000	0.000	0.000	0.000	0.000	0.000	0.052	0.194	0.246	0.246	0.048	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.281	1.059	1.340	1.340	0.259	0.086	4	100	0.5	0.5	0.2
16	0	25	80	0.600	1.250	2.937	3.016	1.200	0.382	0.600	1.250	2.937	3.016	1.200	0.382	0.145	0.141	0.141	0.145	0.145	0.130	0.110	0.110	0.110	0.120	0.130	0.143	0.027	0.056	0.132	0.135	0.054	0.017	0.027	0.056	0.132	0.135	0.054	0.017	0.147	0.305	0.718	0.737	0.293	0.093	0.147	0.305	0.718	0.737	0.293	0.093	3.1	100	0.5	0.5	0.2
17	0	25	80	2.450	3.100	1.350	0.600	0.200	0.000	0.650	2.450	3.100	1.350	0.600	0.650	0.160	0.160	0.160	0.160	0.160	0.139	0.128	0.125	0.124	0.136	0.148	0.160	0.194	0.246	0.246	0.048	0.016	0.000	0.052	0.194	0.246	0.246	0.048	0.052	1.059	1.340	1.340	0.259	0.086	0.000	0.281	1.059	1.340	1.340	0.259	0.281	4	100	0.5	0.5	0.2
18	0	25	80	1.500	0.850	0.700	0.665	0.000	0.000	0.500	1.500	0.850	0.700	0.665	0.500	0.160	0.160	0.160	0.160	0.160	0.139	0.128	0.125	0.124	0.136	0.148	0.160	0.194	0.246	0.246	0.048	0.016	0.000	0.052	0.194	0.246	0.246	0.048	0.052	1.340	1.273	1.005	0.268	0.000	0.000	0.469	1.340	1.273	1.005	0.268	0.469	4	100	0.5	0.5	0.2
19	0	25	80	3.800	3.500	3.000	0.000	0.000	0.000	2.500	3.800	3.500	3.000	0.000	2.500	0.130	0.130	0.130	0.130	0.130	0.120	0.120	0.120	0.120	0.120	0.125	0.130	0.246	0.194	0.048	0.000	0.000	0.000	0.052	0.246	0.194	0.048	0.000	0.052	0.365	0.402	0.292	0.000	0.000	0.000	0.219	0.365	0.402	0.292	0.000	0.219	2.6	30	0.5	0.5	0.2
20	0	25	80	0.916	2.230	2.084	0.975	0.665	0.329	0.916	2.230	2.084	0.975	0.665	0.329	0.160	0.160	0.160	0.160	0.160	0.139	0.128	0.125	0.124	0.136	0.148	0.160	0.123	0.246	0.234	0.185	0.049	0.049	0.123	0.246	0.234	0.185	0.049	0.049	0.670	1.340	1.273	1.005	0.268	0.268	0.670	1.340	1.273	1.005	0.268	0.268	4	100	0.5	0.5	0.2
21	0	25	80	1.800	2.450	2.900	1.700	0.600	0.371	1.800	2.450	2.900	1.700	0.600	0.371	0.130	0.125	0.120	0.125	0.135	0.135	0.125	0.120	0.120	0.120	0.140	0.135	0.036	0.107	0.172	0.172	0.101	0.022	0.036	0.107	0.172	0.172	0.101	0.022	0.194	0.582	0.938	0.938	0.550	0.120	0.194	0.582	0.938	0.938	0.550	0.120	3.25	100	0.5	0.5	0.2
22	0	25	80	1.800	2.100	2.600	3.200	3.700	0.000	0.000	0.400	0.450	0.500	0.800	1.100	0.125	0.120	0.120	0.125	0.135	0.130	0.105	0.100	0.100	0.110	0.135	0.130	0.750	1.000	1.230	1.230	1.230	0.000	0.000	0.025	0.081	0.135	0.246	0.500	4.690	6.700	6.700	6.700	6.700	0.000	0.000	0.134	0.460	0.737	1.340	4.690	3.1	100	0.5	0.5	0.2
23	1	60	100	2.500	1.800	1.500	1.700	2.550	2.815	3.000	3.500	4.000	4.400	4.000	3.000	0.114	0.115	0.115	0.123	0.125	0.110	0.105	0.105	0.105	0.120	0.120	0.118	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	6.700	6.700	6.700	6.700	6.700	6.700	6.700	6.700	6.700	6.700	6.700	6.700	12	50	0.5	0.5	0.2
24	0	25	80	0.400	0.800	0.700	0.600	0.000	0.000	0.100	0.400	0.800	0.700	0.600	0.100	0.130	0.125	0.120	0.125	0.135	0.135	0.125	0.120	0.120	0.120	0.140	0.135	0.194	0.246	0.246	0.048	0.000	0.000	0.052	0.194	0.246	0.246	0.048	0.052	0.582	0.938	0.938	0.550	0.000	0.000	0.194	0.582	0.938	0.938	0.550	0.194	3.25	100	0.5	0.5	0.2
25	0	25	80	0.600	3.008	2.260	1.050	0.859	0.271	0.600	3.008	2.260	1.050	0.859	0.271	0.142	0.141	0.140	0.140	0.140	0.120	0.115	0.115	0.122	0.135	0.135	0.140	0.062	0.111	0.123	0.049	0.025	0.037	0.062	0.111	0.123	0.049	0.025	0.037	0.469	1.340	1.273	1.005	0.268	0.201	0.469	1.340	1.273	1.005	0.268	0.201	3.1	100	0.5	0.5	0.2
26	0	25	80	0.600	3.008	2.260	1.050	0.859	0.271	0.600	3.008	2.260	1.050	0.859	0.271	0.142	0.141	0.140	0.140	0.140	0.120	0.115	0.115	0.122	0.135	0.135	0.140	0.062	0.111	0.123	0.049	0.025	0.037	0.062	0.111	0.123	0.049	0.025	0.037	0.335	0.603	0.670	0.268	0.134	0.201	0.335	0.603	0.670	0.268	0.134	0.201	3.1	100	0.5	0.5	0.2
